epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7371,0.76843,29.1429,0.77763,0.00027,0.82474,0.02179,0.01713,0.6513,32.8193,0.69474,0.00065873,0.00065873,0.00065873
2,20.3741,1.01834,16.0465,0.94232,0.56251,0.37113,0.41468,0.26219,1.00686,12.9691,1.23615,0.00125979,0.00125979,0.00125979
3,29.0507,1.12026,10.7407,1.06165,0.02906,0.54639,0.02483,0.01639,0.88381,71.1003,1.07551,0.00179485,0.00179485,0.00179485
4,37.4995,1.12352,9.10745,1.01888,0.73561,0.60825,0.62135,0.39946,0.97991,7.64809,0.91452,0.001703,0.001703,0.001703
5,45.8157,1.16092,5.81284,1.01058,0.60717,0.54639,0.52571,0.34421,0.94259,14.5097,0.90758,0.001604,0.001604,0.001604
6,54.0245,1.14643,3.3988,1.10912,0.7721,0.60825,0.68507,0.43848,0.84272,1.14312,0.84693,0.001505,0.001505,0.001505
7,62.0644,0.96791,2.3465,0.97631,0.82328,0.69072,0.76019,0.54488,0.70301,0.90333,0.78152,0.001406,0.001406,0.001406
8,70.2764,1.1484,2.13246,1.16608,0.81319,0.75258,0.81916,0.58949,0.67801,1.0136,0.79486,0.001307,0.001307,0.001307
9,78.2998,0.92737,2.08524,0.95137,0.79974,0.74109,0.78773,0.60181,0.65213,0.80931,0.74178,0.001208,0.001208,0.001208
10,86.2132,0.98887,1.90774,0.96345,0.85135,0.80412,0.85356,0.65944,0.5943,0.68411,0.7172,0.001109,0.001109,0.001109
11,95.3993,0.76845,2.03365,0.8008,0.73689,0.65979,0.71364,0.52859,0.66452,0.85915,0.83953,0.00101,0.00101,0.00101
12,103.2,0.71283,1.52078,0.76837,0.89078,0.75675,0.83486,0.60972,0.64897,0.88682,0.74768,0.000911,0.000911,0.000911
13,110.915,0.68873,1.44437,0.73396,0.89258,0.77096,0.84417,0.65339,0.59484,0.7372,0.68946,0.000812,0.000812,0.000812
14,118.688,0.68631,1.38596,0.68228,0.87669,0.86598,0.89398,0.68435,0.57948,0.63637,0.69051,0.000713,0.000713,0.000713
15,126.556,0.69234,1.16347,0.76249,0.81619,0.87629,0.89517,0.69276,0.56627,0.53062,0.6826,0.000614,0.000614,0.000614
16,134.339,0.73631,1.10348,0.79967,0.89097,0.84252,0.90734,0.7214,0.52369,0.5298,0.67167,0.000515,0.000515,0.000515
17,142.104,0.58226,1.05123,0.64287,0.85643,0.8866,0.89381,0.7352,0.50274,0.48931,0.67263,0.000416,0.000416,0.000416
18,149.916,0.53869,0.88854,0.64596,0.89574,0.84536,0.9061,0.73148,0.5262,0.47625,0.68073,0.000317,0.000317,0.000317
19,157.683,0.53959,0.86737,0.61592,0.92164,0.83505,0.92047,0.76134,0.46771,0.53603,0.65164,0.000218,0.000218,0.000218
20,165.526,0.52949,0.83411,0.60447,0.94194,0.83628,0.92496,0.76675,0.46486,0.46564,0.64696,0.000119,0.000119,0.000119
