epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,229.142,0.724,0.77418,0.97229,0.87402,0.875,0.92305,0.77155,0.54435,1.63647,0.83562,0.000581,0.000581,0.000581
45,234.462,0.74594,0.70995,1.06074,0.82444,0.875,0.90866,0.70686,0.63198,1.7276,0.90926,0.000548,0.000548,0.000548
46,240.09,0.70147,0.78274,0.99678,0.92414,0.84375,0.89696,0.77158,0.5183,1.33284,0.81738,0.000515,0.000515,0.000515
47,245.111,0.78288,0.75896,1.01575,0.95737,0.75,0.90382,0.76513,0.50987,2.15661,0.82752,0.000482,0.000482,0.000482
48,250.087,0.7082,0.96324,0.8792,0.91785,0.84375,0.9151,0.77957,0.51574,1.11767,0.8243,0.000449,0.000449,0.000449
49,255.104,0.72055,0.80093,0.99777,0.95548,0.78125,0.914,0.76016,0.51535,1.76929,0.81814,0.000416,0.000416,0.000416
50,260.018,0.68273,0.83432,0.94597,0.7893,0.93656,0.9064,0.7772,0.5323,1.55263,0.82508,0.000383,0.000383,0.000383
51,267.274,0.46819,0.68498,0.61103,0.85726,0.8125,0.89467,0.7797,0.48389,1.2855,0.80938,0.00035,0.00035,0.00035
52,272.286,0.54905,0.80497,0.77576,1,0.74615,0.90362,0.76573,0.51241,2.04594,0.82038,0.000317,0.000317,0.000317
53,277.557,0.56455,0.64911,0.79039,0.78647,0.92102,0.90888,0.77508,0.52468,1.91057,0.82314,0.000284,0.000284,0.000284
54,282.414,0.50961,0.62042,0.76167,0.96041,0.84375,0.90439,0.75622,0.55687,1.24303,0.84489,0.000251,0.000251,0.000251
55,287.292,0.48441,0.66599,0.72834,0.96145,0.84375,0.88267,0.76463,0.52557,0.93859,0.82752,0.000218,0.000218,0.000218
56,292.122,0.44256,0.59069,0.67942,0.9602,0.84375,0.89068,0.74754,0.53944,1.30195,0.84212,0.000185,0.000185,0.000185
57,297.096,0.55962,0.72132,0.80444,0.95976,0.84375,0.90137,0.7592,0.52637,1.75623,0.8282,0.000152,0.000152,0.000152
58,301.97,0.52777,0.58366,0.77274,0.96331,0.8208,0.89989,0.77198,0.48553,1.81256,0.80075,0.000119,0.000119,0.000119
59,306.891,0.46039,0.60573,0.6603,0.96238,0.79962,0.90645,0.77979,0.47706,1.8168,0.79357,8.6e-05,8.6e-05,8.6e-05
60,312.006,0.49579,0.56913,0.73184,0.96333,0.82107,0.90278,0.76841,0.4848,1.84319,0.79784,5.3e-05,5.3e-05,5.3e-05
