epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1549,0.84662,34.1403,0.75491,0.00028,0.78125,0.01696,0.00747,0.75906,33.9027,0.77425,0.000651515,0.000651515,0.000651515
2,16.2131,1.14051,18.5921,1.07575,0.02869,0.125,0.03109,0.02032,0.95295,13.016,0.92284,0.00129643,0.00129643,0.00129643
3,21.4696,1.32091,12.0582,1.40808,0.00123,0.53125,0.0011,0.00058,1.35805,1548.3,1.87205,0.00191935,0.00191935,0.00191935
4,26.7106,1.65595,12.6608,1.40808,0.03567,0.40625,0.02546,0.01349,1.3587,13.9159,1.41191,0.001901,0.001901,0.001901
5,31.9442,1.44617,9.4181,1.40756,0.53741,0.5625,0.53058,0.36237,1.01178,4.2781,1.27617,0.001868,0.001868,0.001868
6,37.0269,1.43862,6.77299,1.2737,0.6547,0.15625,0.13048,0.07147,2.08908,24.6728,3.1432,0.001835,0.001835,0.001835
7,42.1424,1.61415,5.2001,1.39858,0.64233,0.625,0.62301,0.41924,0.93568,1.66369,1.09148,0.001802,0.001802,0.001802
8,47.2073,1.46788,4.03293,1.3999,0.66155,0.4279,0.42977,0.2963,1.00284,110.718,1.22983,0.001769,0.001769,0.001769
9,52.2785,1.17378,3.47841,1.23193,0.84412,0.4375,0.54753,0.39805,0.93774,2.32761,1.04128,0.001736,0.001736,0.001736
10,57.5396,1.3735,2.77585,1.39971,0.82411,0.73237,0.77453,0.56444,0.86729,1.18261,1.10732,0.001703,0.001703,0.001703
11,62.797,1.29228,2.82996,1.40741,0.89556,0.65625,0.78903,0.56691,0.98724,2.30463,1.22652,0.00167,0.00167,0.00167
12,67.8543,1.13306,2.06609,1.20866,0.82252,0.72431,0.81362,0.64007,0.74236,0.92284,0.96336,0.001637,0.001637,0.001637
13,72.8529,1.11621,2.06334,1.13487,0.93877,0.65625,0.82342,0.67541,0.80205,0.94349,1.00672,0.001604,0.001604,0.001604
14,78.2538,1.16838,2.43222,1.27775,0.7412,0.71609,0.78461,0.53797,0.86355,1.12512,1.09744,0.001571,0.001571,0.001571
15,83.1182,1.13942,1.74459,1.18645,0.76661,0.8125,0.84918,0.66442,0.71751,0.92029,0.97011,0.001538,0.001538,0.001538
16,87.8258,1.24265,2.12287,1.31912,0.93761,0.78125,0.8885,0.6897,0.702,1.07091,0.96504,0.001505,0.001505,0.001505
17,92.99,1.04569,1.75048,1.24542,0.87624,0.8125,0.86836,0.68002,0.73246,0.769,0.94059,0.001472,0.001472,0.001472
18,97.9881,1.04182,1.96577,1.11096,0.89589,0.80689,0.86023,0.6898,0.65627,0.75949,0.92455,0.001439,0.001439,0.001439
19,103.445,1.02228,1.38496,1.20719,0.87116,0.84526,0.8696,0.67749,0.70746,0.80814,0.9422,0.001406,0.001406,0.001406
20,108.473,1.00246,1.63553,1.1265,0.92677,0.84375,0.86765,0.70965,0.66823,0.90523,0.95785,0.001373,0.001373,0.001373
21,113.656,1.03747,1.62295,1.12119,0.98046,0.84375,0.88842,0.68095,0.77515,0.78846,0.98449,0.00134,0.00134,0.00134
22,118.901,0.97066,1.87399,1.06897,0.93045,0.83633,0.86502,0.70062,0.66237,0.78667,0.92553,0.001307,0.001307,0.001307
23,124.043,0.98094,1.41094,1.17083,0.90232,0.86623,0.9089,0.68569,0.6407,0.92255,0.92928,0.001274,0.001274,0.001274
24,128.912,0.98567,1.44666,1.1076,0.7902,0.8125,0.86058,0.70014,0.63652,0.7571,0.92471,0.001241,0.001241,0.001241
25,133.718,0.87321,1.32412,1.07086,0.77185,0.875,0.843,0.69934,0.60021,1.76048,0.89392,0.001208,0.001208,0.001208
26,138.415,0.98238,1.31791,1.04694,0.92741,0.875,0.91036,0.74692,0.59161,0.72897,0.86182,0.001175,0.001175,0.001175
27,143.5,0.88718,1.07693,1.03364,0.93269,0.86629,0.90676,0.77234,0.58767,0.73228,0.86741,0.001142,0.001142,0.001142
28,148.791,0.88734,1.07366,1.03409,0.79964,0.90625,0.89301,0.72026,0.59351,1.12222,0.87784,0.001109,0.001109,0.001109
29,153.805,0.97868,1.15305,1.10085,0.97818,0.8125,0.89653,0.76154,0.53634,0.76832,0.85874,0.001076,0.001076,0.001076
