epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,158.839,0.84249,1.01526,0.98661,0.95031,0.84375,0.91573,0.74626,0.57929,1.3713,0.87529,0.001043,0.001043,0.001043
31,163.687,0.87547,1.15621,1.00868,0.85139,0.8954,0.90095,0.75019,0.57178,0.81449,0.86299,0.00101,0.00101,0.00101
32,168.368,0.8106,1.07854,0.93756,0.84532,0.90625,0.91434,0.74843,0.61469,1.69181,0.8647,0.000977,0.000977,0.000977
33,173.285,0.80882,0.84766,0.98563,0.87097,0.90625,0.90781,0.75996,0.57914,0.96158,0.86559,0.000944,0.000944,0.000944
34,178.316,0.86294,0.91432,0.98719,0.92727,0.875,0.92312,0.73609,0.57693,0.71008,0.84568,0.000911,0.000911,0.000911
35,183.385,0.96615,1.15184,1.0125,0.78869,0.875,0.88944,0.73838,0.61803,1.57242,0.85653,0.000878,0.000878,0.000878
36,188.249,0.6767,1.23157,0.84019,0.86106,0.78125,0.88989,0.72199,0.52383,2.3304,0.82093,0.000845,0.000845,0.000845
37,193.529,0.77632,1.04425,0.98348,0.96546,0.87351,0.91255,0.76219,0.55694,0.66548,0.83944,0.000812,0.000812,0.000812
38,198.685,0.82045,1.0867,1.03059,0.82701,0.90625,0.92195,0.732,0.5653,1.73497,0.85244,0.000779,0.000779,0.000779
39,203.766,0.78388,1.06212,0.94177,0.78894,0.93456,0.90837,0.73081,0.56883,2.00922,0.85577,0.000746,0.000746,0.000746
40,208.767,0.83632,1.12302,1.03835,0.77357,0.961,0.9133,0.72641,0.57365,1.62052,0.85312,0.000713,0.000713,0.000713
41,213.75,0.90593,1.2981,0.97725,0.95728,0.90625,0.92818,0.74013,0.54089,0.71297,0.84705,0.00068,0.00068,0.00068
42,218.909,0.72072,0.9551,0.93554,0.87867,0.90527,0.94082,0.7574,0.53165,0.94137,0.83195,0.000647,0.000647,0.000647
43,224.087,0.74545,0.79593,0.94697,0.87827,0.90202,0.93467,0.75897,0.53691,1.19037,0.83001,0.000614,0.000614,0.000614
44,229.435,0.72661,0.73054,0.95255,0.77107,0.9375,0.88436,0.71939,0.51164,2.44339,0.8235,0.000581,0.000581,0.000581
45,234.557,0.71475,0.69208,1.02836,0.77821,0.90625,0.89217,0.73763,0.52306,2.47092,0.83898,0.000548,0.000548,0.000548
46,239.75,0.62083,0.79235,0.92101,0.84369,0.84339,0.90293,0.75273,0.48994,1.37304,0.80187,0.000515,0.000515,0.000515
47,244.759,0.7395,0.75324,0.96707,0.80251,0.88912,0.88964,0.75461,0.47565,2.61845,0.80532,0.000482,0.000482,0.000482
48,249.9,0.73919,0.97534,0.88884,0.79055,0.96875,0.91778,0.76383,0.50261,1.90707,0.80899,0.000449,0.000449,0.000449
49,255.066,0.69742,0.78276,0.96107,0.81143,0.875,0.89174,0.76357,0.50983,2.50728,0.80884,0.000416,0.000416,0.000416
50,260.12,0.68352,0.81745,0.915,0.78597,0.9375,0.91877,0.7556,0.54143,2.16946,0.82033,0.000383,0.000383,0.000383
51,268.942,0.43648,0.59511,0.6001,0.86746,0.81826,0.92779,0.78916,0.5293,1.65326,0.81942,0.00035,0.00035,0.00035
52,274.599,0.51908,0.7015,0.77061,0.80019,0.90625,0.92056,0.78518,0.50024,2.43454,0.80053,0.000317,0.000317,0.000317
53,280.221,0.55586,0.68445,0.78409,0.77291,0.96875,0.91341,0.75164,0.53307,2.80696,0.80772,0.000284,0.000284,0.000284
54,285.746,0.48047,0.64357,0.74829,0.80702,0.9375,0.9266,0.77372,0.49688,1.95622,0.79441,0.000251,0.000251,0.000251
55,290.946,0.49083,0.6464,0.71997,0.8333,0.9375,0.93515,0.7892,0.47823,1.50117,0.78935,0.000218,0.000218,0.000218
56,296.075,0.4565,0.49728,0.67482,0.79434,0.96569,0.9335,0.77729,0.47213,1.90993,0.79279,0.000185,0.000185,0.000185
57,300.966,0.55218,0.68251,0.74131,0.80868,0.9375,0.92982,0.76617,0.46176,2.09756,0.77869,0.000152,0.000152,0.000152
58,305.971,0.52705,0.54372,0.72808,0.80845,0.9375,0.92607,0.7909,0.44934,2.20665,0.76932,0.000119,0.000119,0.000119
59,311.184,0.45521,0.49285,0.62929,0.80941,0.9375,0.92764,0.78677,0.4525,2.13726,0.76745,8.6e-05,8.6e-05,8.6e-05
60,316.253,0.46199,0.56918,0.73117,0.80711,0.9375,0.92828,0.78134,0.45499,2.26923,0.76783,5.3e-05,5.3e-05,5.3e-05
