epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4962,0.81648,23.7945,0.79518,0.90221,0.19035,0.32822,0.1784,1.13499,37.0194,1.06166,0.00065873,0.00065873,0.00065873
2,20.2761,1.08937,14.7647,1.05621,0.56628,0.54639,0.44495,0.28827,0.93338,14.0784,1.03051,0.00125979,0.00125979,0.00125979
3,28.8937,1.2852,9.15076,1.24221,0.54568,0.60825,0.52824,0.36886,0.76847,7.57707,0.82098,0.00179485,0.00179485,0.00179485
4,37.4566,1.25222,9.05341,1.06504,0.00117,0.57732,0.00087,0.00053,1.0181,1879.78,1.99564,0.001703,0.001703,0.001703
5,45.6369,1.03734,5.22097,0.9842,0.88022,0.15166,0.15501,0.11865,0.78858,78.3098,0.85603,0.001604,0.001604,0.001604
6,53.812,1.13322,3.02204,1.15849,0.88334,0.54641,0.63413,0.46467,0.72326,12.9824,0.83574,0.001505,0.001505,0.001505
7,62.0774,0.92074,2.43582,0.87124,0.0015,0.52577,0.00122,0.00092,0.75259,1572.17,0.80378,0.001406,0.001406,0.001406
8,70.11,0.97961,2.28857,0.91599,0.92121,0.80412,0.86496,0.6637,0.65269,0.71151,0.74102,0.001307,0.001307,0.001307
9,78.0351,0.91335,1.69901,0.92916,0.81227,0.72165,0.72631,0.53536,0.82983,0.98781,0.91678,0.001208,0.001208,0.001208
10,85.9053,1.09351,1.83112,1.08784,0.86587,0.83505,0.84892,0.62742,0.68028,0.7026,0.75287,0.001109,0.001109,0.001109
11,95.1394,0.70766,1.36351,0.75487,0.93239,0.78351,0.83716,0.61536,0.64954,0.66676,0.72826,0.00101,0.00101,0.00101
12,102.936,0.64265,1.17351,0.69939,0.74893,0.78351,0.688,0.45145,0.78047,0.89149,0.84014,0.000911,0.000911,0.000911
13,110.89,0.70205,1.27577,0.77173,0.83477,0.72919,0.79361,0.61983,0.6686,0.96994,0.75747,0.000812,0.000812,0.000812
14,119.245,0.64005,1.12112,0.70042,0.87539,0.83505,0.84802,0.62683,0.62806,0.58659,0.73266,0.000713,0.000713,0.000713
15,127.225,0.69244,1.07832,0.76627,0.922,0.81443,0.86832,0.66884,0.56937,0.62261,0.69721,0.000614,0.000614,0.000614
16,135.036,0.64884,1.14433,0.72833,0.89761,0.81443,0.88559,0.7275,0.52297,0.56862,0.67169,0.000515,0.000515,0.000515
17,142.712,0.46631,0.92525,0.58212,0.92202,0.85329,0.8859,0.73817,0.49841,0.49297,0.66204,0.000416,0.000416,0.000416
18,150.522,0.56798,1.02971,0.64692,0.91911,0.86598,0.91254,0.76066,0.49233,0.47227,0.65539,0.000317,0.000317,0.000317
19,158.341,0.5587,0.84508,0.65179,0.93024,0.86598,0.92345,0.78876,0.46012,0.45047,0.63886,0.000218,0.000218,0.000218
20,166.22,0.51194,0.70427,0.58554,0.96451,0.84056,0.92189,0.78414,0.45704,0.45038,0.63383,0.000119,0.000119,0.000119
